candidate,fold,true_class,predicted_class,count,rate_among_true
HIERARCHICAL,4,T and B,Myeloid,323,0.0880108991825613
HIERARCHICAL,4,T and B,Neutrophil,474,0.12915531335149863
HIERARCHICAL,4,T and B,Plasma cell,501,0.13651226158038146
HIERARCHICAL,4,T and B,T and B,627,0.17084468664850136
HIERARCHICAL,4,T and B,Tumor,187,0.050953678474114444
HIERARCHICAL,4,Tumor,Endothelial,156,0.04391891891891892
HIERARCHICAL,4,Tumor,Mesenchymal,150,0.04222972972972973
HIERARCHICAL,4,Tumor,Myeloid,130,0.0365990990990991
HIERARCHICAL,4,Tumor,Neutrophil,58,0.01632882882882883
HIERARCHICAL,4,Tumor,Plasma cell,21,0.0059121621621621625
HIERARCHICAL,4,Tumor,T and B,21,0.0059121621621621625
HIERARCHICAL,4,Tumor,Tumor,3016,0.8490990990990991
