representation,fold,class_id,class_name,precision,recall,f1,auroc,auprc,support
PHIKON_V2_CONTEXT,4,0,Endothelial,0.2855891371003066,0.32141976830170077,0.3024469442189493,0.6829592617832669,0.2801318561642514,4057
PHIKON_V2_CONTEXT,4,1,Mesenchymal,0.3515151515151515,0.21771771771771772,0.2688919796012981,0.704259801559026,0.3199564461261726,5328
PHIKON_V2_CONTEXT,4,2,Myeloid,0.2334664891256103,0.11434782608695652,0.15350941193637824,0.5860553896935747,0.20269971340959875,4600
PHIKON_V2_CONTEXT,4,3,Neutrophil,0.2476257474498769,0.4155844155844156,0.31033722724267143,0.703358894713061,0.23361810719310255,3388
PHIKON_V2_CONTEXT,4,4,Plasma cell,0.34776228906823187,0.6876208897485493,0.46191326944940725,0.818500412681573,0.4384000462833025,4136
PHIKON_V2_CONTEXT,4,5,T and B,0.43005181347150256,0.045231607629427795,0.08185404339250493,0.6517348568674994,0.2343867654967683,3670
PHIKON_V2_CONTEXT,4,6,Tumor,0.4786795048143054,0.5878378378378378,0.5276724791508719,0.8854987311122633,0.5561856125432276,3552
MIDNIGHT12K_SMALL,0,0,Endothelial,0.4195154331231331,0.5288702928870292,0.46788821025356286,0.8156416216879597,0.47297522380038337,2390
MIDNIGHT12K_SMALL,0,1,Mesenchymal,0.3919683257918552,0.2056379821958457,0.26975476839237056,0.7030856642996888,0.3310602195591733,3370
MIDNIGHT12K_SMALL,0,2,Myeloid,0.36186440677966103,0.1723859507468712,0.23352474706043203,0.6789650098723837,0.2637803265575488,2477
MIDNIGHT12K_SMALL,0,3,Neutrophil,0.17010309278350516,0.26774847870182555,0.20803782505910165,0.6766122736840373,0.1347758390993783,986
MIDNIGHT12K_SMALL,0,4,Plasma cell,0.3331261653200746,0.3932501834189288,0.36069986541049803,0.790753583787643,0.3297424043753506,1363
MIDNIGHT12K_SMALL,0,5,T and B,0.588529886914378,0.6345584392962899,0.610678065543542,0.8252305358668668,0.6527646976613093,5741
MIDNIGHT12K_SMALL,0,6,Tumor,0.6446428571428572,0.8698795180722891,0.7405128205128204,0.9603163698200304,0.8121328028663389,2905
MIDNIGHT12K_SMALL,1,0,Endothelial,0.5170335429769392,0.7370190511766903,0.6077314030494377,0.8837497743250048,0.6789394764201602,2677
MIDNIGHT12K_SMALL,1,1,Mesenchymal,0.4060546875,0.4992795389048991,0.44786729857819907,0.7003414977793581,0.4445199331305508,4164
MIDNIGHT12K_SMALL,1,2,Myeloid,0.2601054481546573,0.177742193755004,0.2111771700356718,0.6476633473230751,0.2293769217404857,2498
MIDNIGHT12K_SMALL,1,3,Neutrophil,0.049479166666666664,0.18009478672985782,0.07763023493360571,0.6392428012207586,0.0558251589407613,211
MIDNIGHT12K_SMALL,1,4,Plasma cell,0.4179867143587123,0.49336550060313633,0.4525587828492393,0.8360180343695757,0.4383190371198239,1658
MIDNIGHT12K_SMALL,1,5,T and B,0.5809167446211413,0.28182437031994556,0.37952635599694423,0.7621312428369065,0.524259362409138,4407
MIDNIGHT12K_SMALL,1,6,Tumor,0.6605316973415133,0.7433831990794016,0.6995127233351381,0.9581613383313308,0.7581962620634701,869
MIDNIGHT12K_SMALL,2,0,Endothelial,0.4662092624356775,0.4578840970350404,0.462009178990311,0.8429251125243146,0.4644549471627839,2968
MIDNIGHT12K_SMALL,2,1,Mesenchymal,0.3206724782067248,0.17357600269632625,0.2252350754428165,0.7571088215426576,0.2695227446597633,2967
MIDNIGHT12K_SMALL,2,2,Myeloid,0.32476319350473615,0.3614457831325301,0.3421240199572345,0.6460255653958125,0.32566378642606775,5312
MIDNIGHT12K_SMALL,2,3,Neutrophil,0.14838393731635652,0.24754901960784315,0.1855480710349051,0.7315078524470922,0.13330263359150252,1224
MIDNIGHT12K_SMALL,2,4,Plasma cell,0.38235294117647056,0.24249797242497972,0.2967741935483871,0.7969411994670863,0.2640093127180382,1233
MIDNIGHT12K_SMALL,2,5,T and B,0.4993093922651934,0.36527450319973054,0.4219023536276989,0.7237128608180547,0.4673312234891934,5938
MIDNIGHT12K_SMALL,2,6,Tumor,0.5660532820653666,0.7864911276473955,0.6583087119699752,0.8962535957267992,0.6990571548277239,5241
MIDNIGHT12K_SMALL,3,0,Endothelial,0.5875991348233598,0.6535685645549318,0.618830675778284,0.8792203538354865,0.6554361130929925,1247
MIDNIGHT12K_SMALL,3,1,Mesenchymal,0.38812154696132595,0.24245038826574633,0.2984599044078598,0.7341651335107626,0.35880043679186474,1159
